strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100041112,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041113,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041114,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050101,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050102,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050103,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050104,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050105,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050106,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050107,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050202,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050301,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050302,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050303,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050401,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050402,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050403,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050404,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050405,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050406,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
